extension,mime_type
wk1,application/x-123
wk,application/x-123
7z,application/x-7z-compressed
abw,application/x-abiword
ace,application/x-ace-compressed
aim,application/x-aim
dmg,application/x-apple-diskimage
aab,application/x-authorware-bin
x32,application/x-authorware-bin
u32,application/x-authorware-bin
vox,application/x-authorware-bin
aam,application/x-authorware-map
aas,application/x-authorware-seg
bcpio,application/x-bcpio
bin,application/x-binary
hqx,application/x-binhex40
torrent,application/x-bittorrent
blb,application/x-blorb
blorb,application/x-blorb
bsh,application/x-bsh
sh,application/x-bsh
shar,application/x-bsh
elc,application/x-bytecode.elisp
elc,application/x-bytecode.elisp(compiledelisp)
bz,application/x-bzip
bz2,application/x-bzip2
boz,application/x-bzip2
cbr,application/x-cbr
cba,application/x-cbr
cbt,application/x-cbr
cbz,application/x-cbr
cb7,application/x-cbr
cdf,application/x-cdf
vcd,application/x-cdlink
cfs,application/x-cfs-compressed
chat,application/x-chat
cha,application/x-chat
pgn,application/x-chess-pgn
chm,application/x-chm
crx,application/x-chrome-extension
ras,application/x-cmu-raster
cco,application/x-cocoa
cpt,application/x-compactpro
z,application/x-compress
gz,application/x-compressed
tgz,application/x-compressed
z,application/x-compressed
zip,application/x-compressed
nsc,application/x-conference
cpio,application/x-cpio
cpt,application/x-cpt
csh,application/x-csh
deb,application/x-debian-package
udeb,application/x-debian-package
deepv,application/x-deepv
dgc,application/x-dgc-compressed
dir,application/x-director
dcr,application/x-director
dxr,application/x-director
cst,application/x-director
cct,application/x-director
cxt,application/x-director
w3d,application/x-director
fgd,application/x-director
swa,application/x-director
dms,application/x-dms
wad,application/x-doom
ncx,application/x-dtbncx+xml
dtb,application/x-dtbook+xml
res,application/x-dtbresource+xml
dvi,application/x-dvi
elc,application/x-elc
env,application/x-envoy
evy,application/x-envoy
es,application/x-esrehber
eva,application/x-eva
xla,application/x-excel
xlb,application/x-excel
xlc,application/x-excel
xld,application/x-excel
xlk,application/x-excel
xll,application/x-excel
xlm,application/x-excel
xls,application/x-excel
xlt,application/x-excel
xlv,application/x-excel
xlw,application/x-excel
flac,application/x-flac
pfa,application/x-font
pfb,application/x-font
gsf,application/x-font
pcf,application/x-font
pcf.Z,application/x-font
bdf,application/x-font-bdf
gsf,application/x-font-ghostscript
psf,application/x-font-linux-psf
otf,application/x-font-otf
pcf,application/x-font-pcf
snf,application/x-font-snf
ttf,application/x-font-ttf
ttc,application/x-font-ttf
pfa,application/x-font-type1
pfb,application/x-font-type1
pfm,application/x-font-type1
afm,application/x-font-type1
woff,application/x-font-woff
mif,application/x-frame
arc,application/x-freearc
pre,application/x-freelance
spl,application/x-futuresplash
gca,application/x-gca-compressed
ulx,application/x-glulx
gnumeric,application/x-gnumeric
sgf,application/x-go-sgf
gramps,application/x-gramps-xml
gcf,application/x-graphing-calculator
gsp,application/x-gsp
gss,application/x-gss
gtar,application/x-gtar
tgz,application/x-gtar
taz,application/x-gtar
gz,application/x-gzip
gzip,application/x-gzip
tgz,application/x-gzip
hdf,application/x-hdf
help,application/x-helpfile
hlp,application/x-helpfile
imap,application/x-httpd-imap
phtml,application/x-httpd-php
pht,application/x-httpd-php
php,application/x-httpd-php
phps,application/x-httpd-php-source
php3,application/x-httpd-php3
php3p,application/x-httpd-php3-preprocessed
php4,application/x-httpd-php4
ica,application/x-ica
ima,application/x-ima
install,application/x-install-instructions
ins,application/x-internet-signup
isp,application/x-internet-signup
ins,application/x-internett-signup
iv,application/x-inventor
ip,application/x-ip2
iii,application/x-iphone
iso,application/x-iso9660-image
jar,application/x-java-archive
class,application/x-java-class
jcm,application/x-java-commerce
jnlp,application/x-java-jnlp-file
ser,application/x-java-serialized-object
class,application/x-java-vm
js,application/x-javascript
chrt,application/x-kchart
kil,application/x-killustrator
skd,application/x-koan
skm,application/x-koan
skp,application/x-koan
skt,application/x-koan
kpr,application/x-kpresenter
kpt,application/x-kpresenter
ksh,application/x-ksh
ksp,application/x-kspread
kwd,application/x-kword
kwt,application/x-kword
latex,application/x-latex
ltx,application/x-latex
lha,application/x-lha
lsp,application/x-lisp
ivy,application/x-livescreen
wq1,application/x-lotus
scm,application/x-lotusscreencam
luac,application/x-lua-bytecode
lzh,application/x-lzh
lzh,application/x-lzh-compressed
lha,application/x-lzh-compressed
lzx,application/x-lzx
hqx,application/x-mac-binhex40
bin,application/x-macbinary
mc$,application/x-magic-cap-package-1.0
frm,application/x-maker
maker,application/x-maker
frame,application/x-maker
fm,application/x-maker
fb,application/x-maker
book,application/x-maker
fbdoc,application/x-maker
mcd,application/x-mathcad
mm,application/x-meme
mid,application/x-midi
midi,application/x-midi
mie,application/x-mie
mif,application/x-mif
nix,application/x-mix-transfer
prc,application/x-mobipocket-ebook
mobi,application/x-mobipocket-ebook
m3u8,application/x-mpegURL
asx,application/x-mplayer2
application,application/x-ms-application
lnk,application/x-ms-shortcut
wmd,application/x-ms-wmd
wmz,application/x-ms-wmz
xbap,application/x-ms-xbap
mdb,application/x-msaccess
obd,application/x-msbinder
crd,application/x-mscardfile
clp,application/x-msclip
com,application/x-msdos-program
exe,application/x-msdos-program
bat,application/x-msdos-program
dll,application/x-msdos-program
exe,application/x-msdownload
dll,application/x-msdownload
com,application/x-msdownload
bat,application/x-msdownload
msi,application/x-msdownload
xla,application/x-msexcel
xls,application/x-msexcel
xlw,application/x-msexcel
msi,application/x-msi
mvb,application/x-msmediaview
m13,application/x-msmediaview
m14,application/x-msmediaview
wmf,application/x-msmetafile
wmz,application/x-msmetafile
emf,application/x-msmetafile
emz,application/x-msmetafile
mny,application/x-msmoney
ppt,application/x-mspowerpoint
pub,application/x-mspublisher
scd,application/x-msschedule
trm,application/x-msterminal
wri,application/x-mswrite
ani,application/x-navi-animation
nvd,application/x-navidoc
map,application/x-navimap
stl,application/x-navistyle
nc,application/x-netcdf
cdf,application/x-netcdf
pkg,application/x-newton-compatible-pkg
aos,application/x-nokia-9000-communicator-add-on-software
pac,application/x-ns-proxy-autoconfig
nwc,application/x-nwc
nzb,application/x-nzb
o,application/x-object
omc,application/x-omc
omcd,application/x-omcdatamaker
omcr,application/x-omcregerator
oza,application/x-oz-application
pm4,application/x-pagemaker
pm5,application/x-pagemaker
pcl,application/x-pcl
pma,application/x-perfmon
pmc,application/x-perfmon
pml,application/x-perfmon
pmr,application/x-perfmon
pmw,application/x-perfmon
plx,application/x-pixclscript
p10,application/x-pkcs10
p12,application/x-pkcs12
pfx,application/x-pkcs12
p7b,application/x-pkcs7-certificates
spc,application/x-pkcs7-certificates
p7r,application/x-pkcs7-certreqresp
crl,application/x-pkcs7-crl
p7c,application/x-pkcs7-mime
p7m,application/x-pkcs7-mime
p7a,application/x-pkcs7-signature
p7s,application/x-pkcs7-signature
css,application/x-pointplus
pnm,application/x-portable-anymap
mpc,application/x-project
mpt,application/x-project
mpv,application/x-project
mpx,application/x-project
pyc,application/x-python-code
pyo,application/x-python-code
wb1,application/x-qpro
qtl,application/x-quicktimeplayer
rar,application/x-rar-compressed
rpm,application/x-redhat-package-manager
ris,application/x-research-info-systems
rpm,application/x-rpm
rtf,application/x-rtf
sdp,application/x-sdp
sea,application/x-sea
sl,application/x-seelogo
sh,application/x-sh
shar,application/x-shar
sh,application/x-shar
swf,application/x-shockwave-flash
swfl,application/x-shockwave-flash
xap,application/x-silverlight-app
sit,application/x-sit
spr,application/x-sprite
sprite,application/x-sprite
sql,application/x-sql
sit,application/x-stuffit
sitx,application/x-stuffitx
srt,application/x-subrip
sv4cpio,application/x-sv4cpio
sv4crc,application/x-sv4crc
t3,application/x-t3vm-image
gam,application/x-tads
tar,application/x-tar
sbk,application/x-tbook
tbk,application/x-tbook
tcl,application/x-tcl
tex,application/x-tex
gf,application/x-tex-gf
pk,application/x-tex-pk
tfm,application/x-tex-tfm
texinfo,application/x-texinfo
texi,application/x-texinfo
obj,application/x-tgif
~,application/x-trash
%,application/x-trash
bak,application/x-trash
old,application/x-trash
sik,application/x-trash
roff,application/x-troff
t,application/x-troff
tr,application/x-troff
man,application/x-troff-man
me,application/x-troff-me
ms,application/x-troff-ms
avi,application/x-troff-msvideo
ustar,application/x-ustar
vsd,application/x-visio
vst,application/x-visio
vsw,application/x-visio
mzz,application/x-vnd.audioexplosion.mzz
xpix,application/x-vnd.ls-xpix
vrml,application/x-vrml
src,application/x-wais-source
wsrc,application/x-wais-source
webapp,application/x-web-app-manifest+json
wz,application/x-wingz
hlp,application/x-winhelp
wtk,application/x-wintalk
svr,application/x-world
wrl,application/x-world
wpd,application/x-wpwin
wri,application/x-wri
der,application/x-x509-ca-cert
cer,application/x-x509-ca-cert
crt,application/x-x509-ca-cert
crt,application/x-x509-user-cert
xcf,application/x-xcf
fig,application/x-xfig
xlf,application/x-xliff+xml
xpi,application/x-xpinstall
xz,application/x-xz
zip,application/x-zip-compressed
z1,application/x-zmachine
z2,application/x-zmachine
z3,application/x-zmachine
z4,application/x-zmachine
z5,application/x-zmachine
z6,application/x-zmachine
z7,application/x-zmachine
z8,application/x-zmachine
xaml,application/xaml+xml
xdf,application/xcap-diff+xml
xenc,application/xenc+xml
xhtml,application/xhtml+xml
xht,application/xhtml+xml
xml,application/xml
xsl,application/xml
xpdl,application/xml
dtd,application/xml-dtd
xop,application/xop+xml
xpl,application/xproc+xml
xslt,application/xslt+xml
xspf,application/xspf+xml
mxml,application/xv+xml
xhvml,application/xv+xml
xvml,application/xv+xml
xvm,application/xv+xml
yang,application/yang
yin,application/yin+xml
pko,application/ynd.ms-pkipko
zip,application/zip
adp,audio/adpcm
aif,audio/aiff
aifc,audio/aiff
aiff,audio/aiff
au,audio/basic
snd,audio/basic
flac,audio/flac
it,audio/it
funk,audio/make
my,audio/make
pfunk,audio/make
pfunk,audio/make.my.funk
rmi,audio/mid
mid,audio/mid
mid,audio/midi
midi,audio/midi
kar,audio/midi
rmi,audio/midi
mod,audio/mod
mp4a,audio/mp4
m4a,audio/mp4
mpga,audio/mpeg
mp2,audio/mpeg
mp2a,audio/mpeg
mp3,audio/mpeg
m2a,audio/mpeg
mpa,audio/mpeg
mpg,audio/mpeg
m3a,audio/mpeg
mpega,audio/mpeg
m4a,audio/mpeg
mp3,audio/mpeg3
m3u,audio/mpegurl
la,audio/nspaudio
lma,audio/nspaudio
oga,audio/ogg
ogg,audio/ogg
spx,audio/ogg
sid,audio/prs.sid
s3m,audio/s3m
sil,audio/silk
tsi,audio/tsp-audio
tsp,audio/tsplayer
uva,audio/vnd.dece.audio
uvva,audio/vnd.dece.audio
eol,audio/vnd.digital-winds
dra,audio/vnd.dra
dts,audio/vnd.dts
dtshd,audio/vnd.dts.hd
lvp,audio/vnd.lucent.voice
pya,audio/vnd.ms-playready.media.pya
ecelp4800,audio/vnd.nuera.ecelp4800
ecelp7470,audio/vnd.nuera.ecelp7470
ecelp9600,audio/vnd.nuera.ecelp9600
qcp,audio/vnd.qcelp
rip,audio/vnd.rip
voc,audio/voc
vox,audio/voxware
wav,audio/wav
weba,audio/webm
aac,audio/x-aac
snd,audio/x-adpcm
aif,audio/x-aiff
aiff,audio/x-aiff
aifc,audio/x-aiff
au,audio/x-au
caf,audio/x-caf
flac,audio/x-flac
gsd,audio/x-gsm
gsm,audio/x-gsm
jam,audio/x-jam
lam,audio/x-liveaudio
mka,audio/x-matroska
mid,audio/x-mid
midi,audio/x-mid
mid,audio/x-midi
midi,audio/x-midi
mod,audio/x-mod
mp2,audio/x-mpeg
mp3,audio/x-mpeg-3
m3u,audio/x-mpegurl
m3u,audio/x-mpequrl
wax,audio/x-ms-wax
wma,audio/x-ms-wma
la,audio/x-nspaudio
lma,audio/x-nspaudio
ram,audio/x-pn-realaudio
ra,audio/x-pn-realaudio
rm,audio/x-pn-realaudio
rmm,audio/x-pn-realaudio
rmp,audio/x-pn-realaudio
rmp,audio/x-pn-realaudio-plugin
ra,audio/x-pn-realaudio-plugin
rpm,audio/x-pn-realaudio-plugin
sid,audio/x-psid
ra,audio/x-realaudio
pls,audio/x-scpls
sd2,audio/x-sd2
vqf,audio/x-twinvq
vqe,audio/x-twinvq-plugin
vql,audio/x-twinvq-plugin
mjf,audio/x-vnd.audioexplosion.mjuicemediafile
voc,audio/x-voc
wav,audio/x-wav
xm,audio/xm
cdx,chemical/x-cdx
cif,chemical/x-cif
cmdf,chemical/x-cmdf
cml,chemical/x-cml
csml,chemical/x-csml
pdb,chemical/x-pdb
xyz,chemical/x-pdb
xyz,chemical/x-xyz
dwf,drawing/x-dwf
dwf,drawing/x-dwf(old)
otf,font/opentype
ivr,i-world/i-vrml
bmp,image/bmp
bm,image/bmp
cgm,image/cgm
cod,image/cis-cod
ras,image/cmu-raster
rast,image/cmu-raster
fif,image/fif
flo,image/florian
turbot,image/florian
g3,image/g3fax
gif,image/gif
ief,image/ief
iefs,image/ief
jpeg,image/jpeg
jpg,image/jpeg
jfif,image/jpeg
jfif-tbnl,image/jpeg
jpe,image/jpeg
jut,image/jutvision
ktx,image/ktx
nap,image/naplps
naplps,image/naplps
pcx,image/pcx
pic,image/pict
pict,image/pict
jfif,image/pipeg
jfif,image/pjpeg
jpe,image/pjpeg
jpeg,image/pjpeg
jpg,image/pjpeg
png,image/png
x-png,image/png
btif,image/prs.btif
sgi,image/sgi
svg,image/svg+xml
svgz,image/svg+xml
tiff,image/tiff
tif,image/tiff
mcf,image/vasa
psd,image/vnd.adobe.photoshop
uvi,image/vnd.dece.graphic
uvvi,image/vnd.dece.graphic
uvg,image/vnd.dece.graphic
uvvg,image/vnd.dece.graphic
djvu,image/vnd.djvu
djv,image/vnd.djvu
sub,image/vnd.dvb.subtitle
dwg,image/vnd.dwg
dxf,image/vnd.dwg
svf,image/vnd.dwg
dxf,image/vnd.dxf
fbs,image/vnd.fastbidsheet
fpx,image/vnd.fpx
fpix,image/vnd.fpx
fst,image/vnd.fst
mmr,image/vnd.fujixerox.edmics-mmr
rlc,image/vnd.fujixerox.edmics-rlc
mdi,image/vnd.ms-modi
wdp,image/vnd.ms-photo
npx,image/vnd.net-fpx
fpx,image/vnd.net-fpx
rf,image/vnd.rn-realflash
rp,image/vnd.rn-realpix
wbmp,image/vnd.wap.wbmp
xif,image/vnd.xiff
webp,image/webp
3ds,image/x-3ds
ras,image/x-cmu-rast
ras,image/x-cmu-raster
cmx,image/x-cmx
cdr,image/x-coreldraw
pat,image/x-coreldrawpattern
cdt,image/x-coreldrawtemplate
cpt,image/x-corelphotopaint
dwg,image/x-dwg
dxf,image/x-dwg
svf,image/x-dwg
fh,image/x-freehand
fhc,image/x-freehand
fh4,image/x-freehand
fh5,image/x-freehand
fh7,image/x-freehand
ico,image/x-icon
art,image/x-jg
jng,image/x-jng
jps,image/x-jps
sid,image/x-mrsid-image
bmp,image/x-ms-bmp
nif,image/x-niff
niff,image/x-niff
pcx,image/x-pcx
psd,image/x-photoshop
pic,image/x-pict
pct,image/x-pict
pnm,image/x-portable-anymap
pbm,image/x-portable-bitmap
pgm,image/x-portable-graymap
pgm,image/x-portable-greymap
ppm,image/x-portable-pixmap
qif,image/x-quicktime
qti,image/x-quicktime
qtif,image/x-quicktime
rgb,image/x-rgb
tga,image/x-tga
tif,image/x-tiff
tiff,image/x-tiff
bmp,image/x-windows-bmp
xbm,image/x-xbitmap
xpm,image/x-xbitmap
xbm,image/x-xbm
xpm,image/x-xpixmap
pm,image/x-xpixmap
xwd,image/x-xwd
xwd,image/x-xwindowdump
xbm,image/xbm
xpm,image/xpm
eml,message/rfc822
mht,message/rfc822
mhtml,message/rfc822
mime,message/rfc822
nws,message/rfc822
igs,model/iges
iges,model/iges
msh,model/mesh
mesh,model/mesh
silo,model/mesh
dae,model/vnd.collada+xml
dwf,model/vnd.dwf
gdl,model/vnd.gdl
gtw,model/vnd.gtw
mts,model/vnd.mts
vtu,model/vnd.vtu
wrl,model/vrml
vrml,model/vrml
wrz,model/vrml
pov,model/x-pov
x3db,model/x3d+binary
x3dbz,model/x3d+binary
x3dv,model/x3d+vrml
x3dvz,model/x3d+vrml
x3d,model/x3d+xml
x3dz,model/x3d+xml
gzip,multipart/x-gzip
ustar,multipart/x-ustar
zip,multipart/x-zip
mid,music/crescendo
midi,music/crescendo
kar,music/x-karaoke
pvu,paleovu/x-pv
asp,text/asp
appcache,text/cache-manifest
manifest,text/cache-manifest
ics,text/calendar
ifb,text/calendar
icz,text/calendar
csv,text/comma-separated-values
css,text/css
csv,text/csv
js,text/ecmascript
event-stream,text/event-stream
323,text/h323
html,text/html
acgi,text/html
htm,text/html
htmls,text/html
htx,text/html
shtml,text/html
stm,text/html
uls,text/iuls
js,text/javascript
mml,text/mathml
mcf,text/mcf
n3,text/n3
pas,text/pascal
txt,text/plain
text,text/plain
conf,text/plain
def,text/plain
list,text/plain
log,text/plain
c,text/plain
c++,text/plain
cc,text/plain
com,text/plain
cxx,text/plain
f,text/plain
f90,text/plain
for,text/plain
g,text/plain
h,text/plain
hh,text/plain
idc,text/plain
jav,text/plain
java,text/plain
lst,text/plain
m,text/plain
mar,text/plain
pl,text/plain
sdml,text/plain
bas,text/plain
in,text/plain
asc,text/plain
diff,text/plain
pot,text/plain
el,text/plain
ksh,text/plain
par,text/plain-bas
dsc,text/prs.lines.tag
rtx,text/richtext
rt,text/richtext
rtf,text/richtext
rtf,text/rtf
wsc,text/scriplet
sct,text/scriptlet
wsc,text/scriptlet
sgml,text/sgml
sgm,text/sgml
tsv,text/tab-separated-values
tm,text/texmacs
ts,text/texmacs
t,text/troff
tr,text/troff
roff,text/troff
man,text/troff
me,text/troff
ms,text/troff
ttl,text/turtle
uri,text/uri-list
uris,text/uri-list
uni,text/uri-list
unis,text/uri-list
urls,text/uri-list
vcard,text/vcard
abc,text/vnd.abc
curl,text/vnd.curl
dcurl,text/vnd.curl.dcurl
mcurl,text/vnd.curl.mcurl
scurl,text/vnd.curl.scurl
sub,text/vnd.dvb.subtitle
fly,text/vnd.fly
flx,text/vnd.fmi.flexstor
gv,text/vnd.graphviz
3dml,text/vnd.in3d.3dml
spot,text/vnd.in3d.spot
rt,text/vnd.rn-realtext
jad,text/vnd.sun.j2me.app-descriptor
si,text/vnd.wap.si
sl,text/vnd.wap.sl
wml,text/vnd.wap.wml
wmls,text/vnd.wap.wmlscript
vtt,text/vtt
htt,text/webviewhtml
s,text/x-asm
asm,text/x-asm
aip,text/x-audiosoft-intra
c,text/x-c
cc,text/x-c
cxx,text/x-c
cpp,text/x-c
h,text/x-c
hh,text/x-c
dic,text/x-c
h++,text/x-c++hdr
hpp,text/x-c++hdr
hxx,text/x-c++hdr
hh,text/x-c++hdr
c++,text/x-c++src
cpp,text/x-c++src
cxx,text/x-c++src
cc,text/x-c++src
h,text/x-chdr
htc,text/x-component
csh,text/x-csh
c,text/x-csrc
f,text/x-fortran
for,text/x-fortran
f77,text/x-fortran
f90,text/x-fortran
h,text/x-h
hh,text/x-h
java,text/x-java
java,text/x-java-source
jav,text/x-java-source
lsx,text/x-la-asf
lua,text/x-lua
m,text/x-m
markdown,text/x-markdown
md,text/x-markdown
mkd,text/x-markdown
moc,text/x-moc
nfo,text/x-nfo
opml,text/x-opml
p,text/x-pascal
pas,text/x-pascal
gcd,text/x-pcs-gcd
pl,text/x-perl
pm,text/x-perl
py,text/x-python
hlb,text/x-script
csh,text/x-script.csh
el,text/x-script.elisp
scm,text/x-script.guile
ksh,text/x-script.ksh
lsp,text/x-script.lisp
pl,text/x-script.perl
pm,text/x-script.perl-module
py,text/x-script.phyton
rexx,text/x-script.rexx
scm,text/x-script.scheme
sh,text/x-script.sh
tcl,text/x-script.tcl
tcsh,text/x-script.tcsh
zsh,text/x-script.zsh
shtml,text/x-server-parsed-html
ssi,text/x-server-parsed-html
etx,text/x-setext
sfv,text/x-sfv
sgm,text/x-sgml
sgml,text/x-sgml
sh,text/x-sh
spc,text/x-speech
talk,text/x-speech
tcl,text/x-tcl
tk,text/x-tcl
tex,text/x-tex
ltx,text/x-tex
sty,text/x-tex
cls,text/x-tex
uil,text/x-uil
uu,text/x-uuencode
uue,text/x-uuencode
vcs,text/x-vcalendar
vcf,text/x-vcard
xml,text/xml
3gp,video/3gpp
3g2,video/3gpp2
ts,video/MP2T
afl,video/animaflex
avi,video/avi
avs,video/avs-video
dl,video/dl
flc,video/flc
fli,video/flc
flc,video/fli
fli,video/fli
gl,video/gl
h261,video/h261
h263,video/h263
h264,video/h264
jpgv,video/jpeg
jpm,video/jpm
jpgm,video/jpm
mj2,video/mj2
mjp2,video/mj2
mp4,video/mp4
mp4v,video/mp4
mpg4,video/mp4
mpeg,video/mpeg
mpg,video/mpeg
mpe,video/mpeg
m1v,video/mpeg
m2v,video/mpeg
mp2,video/mpeg
mp3,video/mpeg
mpa,video/mpeg
mpv2,video/mpeg
avi,video/msvideo
ogv,video/ogg
qt,video/quicktime
moov,video/quicktime
mov,video/quicktime
vdo,video/vdo
viv,video/vivo
vivo,video/vivo
uvh,video/vnd.dece.hd
uvvh,video/vnd.dece.hd
uvm,video/vnd.dece.mobile
uvvm,video/vnd.dece.mobile
uvp,video/vnd.dece.pd
uvvp,video/vnd.dece.pd
uvs,video/vnd.dece.sd
uvvs,video/vnd.dece.sd
uvv,video/vnd.dece.video
uvvv,video/vnd.dece.video
dvb,video/vnd.dvb.file
fvt,video/vnd.fvt
mxu,video/vnd.mpegurl
m4u,video/vnd.mpegurl
pyv,video/vnd.ms-playready.media.pyv
rv,video/vnd.rn-realvideo
uvu,video/vnd.uvvu.mp4
uvvu,video/vnd.uvvu.mp4
viv,video/vnd.vivo
vivo,video/vnd.vivo
vos,video/vosaic
webm,video/webm
xdr,video/x-amt-demorun
xsr,video/x-amt-showrun
fmf,video/x-atomic3d-feature
dl,video/x-dl
dif,video/x-dv
dv,video/x-dv
f4v,video/x-f4v
fli,video/x-fli
flv,video/x-flv
gl,video/x-gl
isu,video/x-isvideo
lsf,video/x-la-asf
lsx,video/x-la-asf
m4v,video/x-m4v
mkv,video/x-matroska
mk3d,video/x-matroska
mks,video/x-matroska
mng,video/x-mng
mjpg,video/x-motion-jpeg
mp2,video/x-mpeg
mp3,video/x-mpeg
mp2,video/x-mpeq2a
asf,video/x-ms-asf
asx,video/x-ms-asf
asr,video/x-ms-asf
asx,video/x-ms-asf-plugin
vob,video/x-ms-vob
wm,video/x-ms-wm
wmv,video/x-ms-wmv
wmx,video/x-ms-wmx
wvx,video/x-ms-wvx
avi,video/x-msvideo
qtc,video/x-qtc
scm,video/x-scm
movie,video/x-sgi-movie
mv,video/x-sgi-movie
smv,video/x-smv
wmf,windows/metafile
mime,www/mime
ice,x-conference/x-cooltalk
mid,x-music/x-midi
midi,x-music/x-midi
3dm,x-world/x-3dmf
3dmf,x-world/x-3dmf
qd3,x-world/x-3dmf
qd3d,x-world/x-3dmf
svr,x-world/x-svr
vrml,x-world/x-vrml
wrl,x-world/x-vrml
wrz,x-world/x-vrml
flr,x-world/x-vrml
xaf,x-world/x-vrml
xof,x-world/x-vrml
vrm,x-world/x-vrml
vrt,x-world/x-vrt
xgz,xgl/drawing
xmz,xgl/movie
ma nb mb,application/mathematica
doc dot,application/msword
bin dms lha lrf lzh so iso dmg dist distz pkg bpk dump elc deploy,application/octet-stream
onetoc onetoc2 onetmp onepkg,application/onenote
asc sig,application/pgp-signature
p7m p7c,application/pkcs7-mime
ai eps ps,application/postscript
smi smil,application/smil+xml
atc acutc,application/vnd.acucorp
c4g c4d c4f c4p c4u,application/vnd.clonk.c4group
es3 et3,application/vnd.eszigno3+xml
seed dataless,application/vnd.fdsn.seed
fm frame maker book,application/vnd.framemaker
gex gre,application/vnd.geometry-explorer
gqf gqs,application/vnd.grafeq
afp listafp list3820,application/vnd.ibm.modcap
icc icm,application/vnd.iccprofile
xpw xpx,application/vnd.intercon.formnet
ktz ktr,application/vnd.kahootz
kpr kpt,application/vnd.kde.kpresenter
kwd kwt,application/vnd.kde.kword
kne knp,application/vnd.kinar
skp skd skt skm,application/vnd.koan
xls xlm xla xlc xlt xlw,application/vnd.ms-excel
ppt pps pot,application/vnd.ms-powerpoint
mpp mpt,application/vnd.ms-project
wps wks wcm wdb,application/vnd.ms-works
pdb pqa oprc,application/vnd.palm
qxd qxt qwd qwt qxl qxb,application/vnd.quark.quarkxpress
twd twds,application/vnd.simtech-mindmapper
sdkm sdkd,application/vnd.solent.sdkm+xml
sus susp,application/vnd.sus-calendar
sis sisx,application/vnd.symbian.install
ufd ufdl,application/vnd.ufdl
vsd vst vss vsw,application/vnd.visio
zir zirz,application/vnd.zul
aab x32 u32 vox,application/x-authorware-bin
bz2 boz,application/x-bzip2
deb udeb,application/x-debian-package
dir dcr dxr cst cct cxt w3d fgd swa,application/x-director
ttf ttc,application/x-font-ttf
pfa pfb pfm afm,application/x-font-type1
prc mobi,application/x-mobipocket-ebook
exe dll com bat msi,application/x-msdownload
mvb m13 m14,application/x-msmediaview
nc cdf,application/x-netcdf
p12 pfx,application/x-pkcs12
p7b spc,application/x-pkcs7-certificates
texinfo texi,application/x-texinfo
der crt,application/x-x509-ca-cert
xhtml xht,application/xhtml+xml
xml xsl,application/xml
mxml xhvml xvml xvm,application/xv+xml
au snd,audio/basic
mid midi kar rmi,audio/midi
mpga mp2 mp2a mp3 m2a m3a,audio/mpeg
oga ogg spx,audio/ogg
aif aiff aifc,audio/x-aiff
ram ra,audio/x-pn-realaudio
jpeg jpg jpe,image/jpeg
svg svgz,image/svg+xml
tiff tif,image/tiff
djvu djv,image/vnd.djvu
fh fhc fh4 fh5 fh7,image/x-freehand
pic pct,image/x-pict
eml mime,message/rfc822
igs iges,model/iges
msh mesh silo,model/mesh
wrl vrml,model/vrml
ics ifb,text/calendar
html htm,text/html
txt text conf def list log in,text/plain
sgml sgm,text/sgml
t tr roff man me ms,text/troff
uri uris urls,text/uri-list
s asm,text/x-asm
c cc cxx cpp h hh dic,text/x-c
f for f77 f90,text/x-fortran
p pas,text/x-pascal
jpm jpgm,video/jpm
mj2 mjp2,video/mj2
mp4 mp4v mpg4,video/mp4
mpeg mpg mpe m1v m2v,video/mpeg
qt mov,video/quicktime
mxu m4u,video/vnd.mpegurl
asf asx,video/x-ms-asf
